P2RY12	GNAI3	1
MLNR	GNA15	0
FPR2	GNAS	0
SSTR2	GNAZ	0
P2RY14	GNA14	1
HRH3	GNAQ	0
DRD2	GNA14	0
PTGER3	GNAI1	1
TACR2	GNAI3	1
LTB4R2	GNAS	0
S1PR1	GNAO1	1
DRD4	GNAI3	1
HRH1	GNA12	0
FPR2	GNA12	0
S1PR1	GNAL	0
EDNRA	GNAL	1
P2RY4	GNA15	1
HTR1E	GNA13	0
APLNR	GNAQ	0
NPFFR2	GNA13	0
GNRHR	GNAO1	0
S1PR3	GNAQ	1
ADORA2B	GNAI1	1
F2RL1	GNAI1	1
EDNRB	GNAO1	1
TBXA2R	GNA13	1
CYSLTR1	GNA15	1
FPR2	GNAL	0
ADORA3	GNA14	0
MLNR	GNAS	0
DRD4	GNA15	0
GALR2	GNAL	0
NPFFR2	GNA14	0
CHRM5	GNA15	1
CYSLTR2	GNAS	0
HTR4	GNA15	0
CCKBR	GNA15	1
HRH4	GNA12	0
NPFFR2	GNAO1	1
PTGIR	GNAL	1
GIPR	GNAQ	0
EDNRB	GNAS	1
GPR55	GNAZ	0
S1PR1	GNAI3	1
HRH1	GNAO1	1
P2RY12	GNA13	0
HTR6	GNAZ	1
ADRA2A	GNAI1	1
CCKAR	GNAS	1
HTR2A	GNAQ	1
HTR1F	GNAI3	1
LPAR5	GNAL	0
ADRA1A	GNAO1	0
FPR2	GNAI3	1
MRGPRX1	GNA13	1
P2RY10	GNAI1	1
PRLHR	GNAO1	1
MTNR1B	GNAL	0
ADRA2B	GNAZ	1
ADCYAP1R1	GNA15	0
LPAR2	GNAL	1
ADORA2A	GNAS	1
CYSLTR2	GNAO1	0
OPRK1	GNA13	0
ADRB1	GNA12	0
GPR174	GNAQ	0
ADCYAP1R1	GNA14	1
AGTR1	GNAS	0
GHSR	GNAL	1
OPRM1	GNA12	0
ADRB1	GNAS	1
P2RY11	GNAZ	1
P2RY4	GNAL	0
GPR35	GNAO1	1
DRD3	GNAQ	0
P2RY4	GNAI1	1
NPBWR1	GNAO1	0
FFAR2	GNAI3	0
ADRA2A	GNA15	0
P2RY14	GNA13	0
HTR7	GNAS	1
BDKRB2	GNAZ	0
LTB4R2	GNAQ	0
ADRB2	GNA12	0
P2RY10	GNAI3	1
MCHR2	GNA14	1
GRPR	GNA13	1
MC5R	GNAL	1
OPRL1	GNAZ	1
HTR7	GNA15	1
DRD3	GNAS	0
NMBR	GNAS	1
MTNR1A	GNA14	0
LPAR1	GNA14	1
OPRL1	GNA13	0
PTGER2	GNAL	1
TACR3	GNAQ	1
CNR2	GNAL	0
FFAR2	GNA15	1
SSTR1	GNAQ	0
NMUR2	GNAI1	1
OPRM1	GNA13	0
EDNRA	GNA12	1
OXGR1	GNA13	0
CHRM4	GNAL	0
HTR2A	GNAL	0
HTR7	GNAI3	1
ADRA1D	GNA14	1
BDKRB2	GNAQ	1
OPRL1	GNA12	0
OXTR	GNAS	1
CHRM1	GNAL	0
ADORA1	GNA15	0
CNR2	GNAQ	0
MRGPRX1	GNAQ	1
ADORA1	GNAL	0
UTS2R	GNA13	0
ADORA2B	GNAO1	1
F2R	GNA12	1
LPAR2	GNAZ	1
LPAR3	GNAL	1
CHRM3	GNAO1	0
OPRM1	GNAI1	1
HTR1A	GNAL	0
PTGER1	GNAI3	0
NPFFR2	GNAI1	1
OPRM1	GNA15	0
CNR2	GNA12	0
F2RL1	GNAL	0
GPR84	GNAI1	1
CNR1	GNAL	0
NMUR1	GNAI3	0
PRLHR	GNA12	0
PTGFR	GNA14	1
GHSR	GNA15	1
HRH2	GNAQ	1
AGTR1	GNAQ	1
F2RL1	GNAQ	1
TACR1	GNA14	1
CHRM1	GNAI1	1
HTR1F	GNA12	0
PTGER3	GNAO1	1
OXTR	GNAO1	0
GPR34	GNAQ	0
ADCYAP1R1	GNA13	0
PTGDR	GNAO1	0
ADRB1	GNA14	1
LPAR5	GNAI3	1
NMUR1	GNAO1	0
CCKBR	GNAI1	1
HRH4	GNA14	0
KISS1R	GNAS	0
OXGR1	GNA15	0
TACR2	GNA13	0
GPR119	GNA15	0
TACR3	GNAI1	1
ADRB2	GNAS	1
HRH2	GNAZ	1
FFAR2	GNAQ	1
F2R	GNAO1	1
LPAR5	GNA15	0
PTGFR	GNAI3	0
CHRM1	GNA15	0
CHRM3	GNAI1	1
MCHR1	GNAL	1
MRGPRX1	GNA15	1
DRD3	GNAI3	1
GPR132	GNAI3	1
S1PR1	GNA13	0
GPR55	GNA12	0
ADRA2B	GNA13	0
NPBWR1	GNAL	0
APLNR	GNAI3	1
HRH3	GNAS	0
HTR1F	GNAI1	1
SSTR4	GNA15	0
SSTR3	GNAZ	0
CNR1	GNA13	1
CHRM5	GNAI3	1
GPR132	GNA15	1
P2RY6	GNA15	1
MTNR1B	GNA12	0
ADRA2A	GNA13	0
ADORA1	GNA14	0
HCRTR1	GNA14	1
PTGER3	GNA15	0
MRGPRX2	GNAZ	1
MRGPRX2	GNA12	1
GPR55	GNA15	0
P2RY13	GNA14	1
BDKRB2	GNA14	1
LPAR2	GNAQ	1
MC5R	GNA13	1
OXTR	GNA15	0
DRD2	GNAQ	0
P2RY14	GNAZ	1
FPR1	GNA12	0
NMBR	GNAO1	1
GPR183	GNAI3	1
ADRA2B	GNA14	0
ADRA1D	GNA13	0
GPR17	GNA14	0
DRD3	GNAI1	1
F2RL2	GNAO1	1
ADRB3	GNA14	0
GALR1	GNAZ	0
ADCYAP1R1	GNAI3	0
ADORA1	GNAI3	1
PTH2R	GNAI3	1
ADRB1	GNAO1	0
FFAR1	GNAS	1
ADORA2A	GNAL	1
SSTR2	GNAO1	0
MTNR1A	GNAQ	0
HTR6	GNAI1	1
MLNR	GNAI3	1
GPR84	GNA12	0
S1PR5	GNAI1	1
NMUR2	GNAO1	1
LPAR3	GNA15	1
GPR35	GNAL	0
SSTR4	GNAL	0
FFAR1	GNA12	1
DRD3	GNA15	0
ADRA1D	GNAZ	0
HCRTR2	GNAL	0
LTB4R	GNA12	1
HTR6	GNAL	1
HCRTR1	GNAO1	1
ADRB3	GNAQ	0
GPR34	GNAZ	0
P2RY2	GNA12	1
CHRM1	GNAO1	0
P2RY10	GNAS	0
GALR3	GNA12	0
GRPR	GNA14	1
OXTR	GNA14	1
DRD2	GNAS	0
MTNR1A	GNA12	0
MRGPRX1	GNAI1	1
PTAFR	GNAI3	1
ADRA1D	GNAI1	0
SSTR5	GNA13	0
TBXA2R	GNAZ	0
HTR4	GNAL	1
LTB4R2	GNAI3	1
NPFFR1	GNA15	0
PTH2R	GNAL	1
HTR7	GNA13	1
S1PR3	GNAZ	1
MC4R	GNAI3	1
MC1R	GNAI3	0
PRLHR	GNA14	1
ADRA1B	GNA12	0
P2RY4	GNA14	0
PTGER4	GNA13	0
ADRA1A	GNA14	1
HTR1B	GNA14	1
OXGR1	GNAO1	1
ADRA1B	GNA14	1
MC3R	GNA14	1
DRD1	GNAI3	1
TBXA2R	GNAO1	0
GPR132	GNAI1	0
GRPR	GNAI3	1
GNRHR	GNAS	1
GPR35	GNAI1	1
HRH1	GNAI1	1
LPAR4	GNAI3	1
P2RY10	GNA13	1
FPR1	GNAO1	0
HTR1B	GNAQ	0
PTGIR	GNAZ	0
OPRM1	GNAI3	1
CYSLTR2	GNA14	1
LPAR2	GNA14	1
OPRK1	GNAO1	1
HTR6	GNAS	1
HTR1D	GNAI1	1
CNR1	GNAS	0
GPR183	GNAI1	1
HTR1D	GNA13	0
HRH2	GNA14	1
AGTR1	GNA13	0
LTB4R	GNA15	0
MRGPRX2	GNAI1	1
HRH4	GNAQ	0
PTGER3	GNAL	0
HTR2C	GNAI3	1
S1PR3	GNA14	1
SSTR1	GNAZ	0
CYSLTR2	GNA13	0
PTGFR	GNAZ	0
NPFFR2	GNAI3	1
HTR1F	GNAL	0
PTH2R	GNAQ	1
HCRTR2	GNAQ	1
OPRL1	GNAS	0
CHRM5	GNAZ	1
MC3R	GNAZ	1
GPR34	GNA15	0
P2RY13	GNAL	0
TACR2	GNAO1	0
GALR3	GNAZ	1
PTH1R	GNAL	1
SSTR5	GNAL	0
FPR1	GNA13	0
NMBR	GNAI3	1
OPRK1	GNAI1	1
LTB4R2	GNA13	0
HRH2	GNAO1	1
FPR1	GNAQ	0
FPR1	GNA14	1
AVPR2	GNA12	0
MC4R	GNAS	1
F2RL3	GNAQ	1
PTH1R	GNA13	0
NPFFR2	GNAZ	1
P2RY2	GNAS	1
GPR34	GNA14	0
CNR2	GNA15	0
GPR174	GNA14	0
CYSLTR2	GNAI3	1
CHRM1	GNAI3	1
GHSR	GNAZ	1
LPAR6	GNAZ	1
AVPR1B	GNAO1	0
ADRB2	GNAZ	0
PTAFR	GNA15	1
GPR119	GNAO1	1
BDKRB2	GNAI3	1
HCRTR1	GNAI3	1
ADRB1	GNAZ	0
HTR2C	GNA15	1
HCRTR2	GNAO1	1
EDNRA	GNA13	1
HTR2B	GNAO1	0
ADRA2A	GNAL	0
OPRK1	GNAI3	1
MRGPRX2	GNAQ	1
CCKAR	GNAI1	1
TBXA2R	GNAL	0
F2RL3	GNAL	1
TACR2	GNAS	0
SSTR5	GNA15	0
LPAR5	GNAS	0
APLNR	GNAS	0
LTB4R	GNAI1	1
OPRM1	GNAZ	1
TACR3	GNAS	1
P2RY2	GNAQ	0
HRH4	GNA15	0
P2RY12	GNA15	0
LPAR3	GNAZ	1
LPAR6	GNAL	0
DRD3	GNAO1	1
HTR4	GNAZ	1
HTR2A	GNAS	0
F2RL2	GNA15	1
NPFFR1	GNA13	0
F2RL2	GNA14	1
NMUR2	GNAZ	1
OPRK1	GNAZ	1
LTB4R2	GNAZ	0
P2RY10	GNAQ	0
CHRM5	GNAI1	1
GALR1	GNAS	0
MTNR1B	GNAZ	1
ADORA2A	GNA15	0
HTR1B	GNA15	0
GRPR	GNAZ	1
